ID;name;image;
51f433f0-ec65-4ff9-bfa5-41c87056b221;Accesories;https://assets.winncom.eu/2023/10/winncom-products-accessories-150x150px.png;
4e7ea5fe-8c7b-462f-8da8-1841568d84d8;Antennas;https://assets.winncom.eu/2023/10/winncom-products-antennas-150x150px.png;
cde5fadd-8968-499e-8bce-11550c52e799;Cables and Cable Assemblies;https://assets.winncom.eu/2023/10/winncom-products-cables-150x150px.png;
de02e3c7-ca69-49d4-a00d-2454a60c27d3;Installation and Diagnostic Tools;https://assets.winncom.eu/2023/10/winncom-products-installation-diagnostic-tools-150x150px.png;
00bdb668-acb1-4fc0-abca-a86e4c3733ff;Licensed Wireless Point to Multipoint Systems;https://assets.winncom.eu/2023/10/winncom-products-licensed-point-to-point-systems-150x150px.png;
d0b4cd8a-a1a1-45f2-bc96-1b360a5e6298;Licensed Wireless Point to Point Systems;https://assets.winncom.eu/2023/10/winncom-products-licensed-wireless-point-to-multipiont-systems-150x150px.png;
61cfd6a4-7f3e-4798-b3a1-902cb70dcadf;Network and Network Management Systems;https://assets.winncom.eu/2023/10/winncom-products-network-management-systems-150x150px.png;
80230d88-e041-4665-9236-bbc3dc47c586;Network Monitoring;https://assets.winncom.eu/2023/11/winncom-manufacturers-paessler-product-families-150x150px-1.png;
fd3dfcc0-ef59-4937-a701-38087bf49854;Site Solutions;https://assets.winncom.eu/2023/10/winncom-products-site-solutions-150x150px.png;
72801395-ea81-4205-96d5-7a42e99b691f;Unlicensed Wireless Point to Point Systems;https://assets.winncom.eu/2023/10/winncom-products-unlicensed-wireless-point-to-point-systems-150x150px.png;
74d979f6-304c-4b0a-b08a-fbb9af243e7b;Video Surveillance Products;https://assets.winncom.eu/2023/10/winncom-products-video-surveillance-150x150px.png;
4434ea57-a088-4705-b50e-543719d92051;Wireless Broadband Wi-Fi Products WLAN;https://assets.winncom.eu/2023/10/winncom-products-wireless-broadband-wi-fi-wlan-150x150px.png;
4e6c8c68-2a33-4e30-80dd-09df984b56b2;Wireless WAN and LAN Point to Multipoint Systems;https://assets.winncom.eu/2023/10/winncom-products-wireless-wan-and-lan-point-to-multipoint-systems-150x150px.png;
